FRA Point;FRA Point Latitude;FRA Point Longitude
OKBUN;N614034;E0101207
OKDOC;N662233;E0133321
OKEVU;N591419;E0213136
OKEXA;N620000;E0091901
OKLAD;N565421;E0204435
OKMAM;N565346;E0063557
OKNOD;N554705;E0273359
OKPAL;N564921;W0020435
OKSAB;N641145;E0094710
OKSAT;N591946;E0115726
OKSAW;N514215;W0014109
OKTAD;N514904;W0023246
OLANU;N572808;E0174307
OLAPO;N534649;W0071741
OLCUS;N591700;E0090000
OLDAS;N610413;E0051017
OLEMA;N601400;E0272830
OLGON;N533000;W0140000
OLGUB;N620456;E0272149
OLGUV;N622603;E0121053
OLGUV;N622603;E0121053
OLNOP;N661119;E0244219
OLOLI;N710659;E0225632
OLOLU;N612027;E0074430
OLONO;N524323;W0064644
OLPED;N593459;E0213339
OLPIB;N550005;E0122245
OMAXA;N583020;E0225226
OMEXA;N690111;E0124825
OMIDU;N652037;E0113500
OMIMA;N550000;E0063655
OMIMA;N550000;E0063655
OMOKO;N485020;W0120000
OMZER;N603341;E0275050
OPOKA;N564506;E0275406
ORSUM;N570307;W0051741
ORTAV;N593000;W0100000
ORTAX;N585100;E0241922
ORTEN;N700000;E0150000
ORTOM;N511615;W0081758
ORVAK;N701854;E0225944
ORVIK;N593818;E0004009
ORVIK;N593818;E0004009
ORVIK;N593818;E0004009
ORVIX;N565409;E0222245
ORZEB;N512426;W0022754
OSBEB;N704019;E0305429
OSBON;N610000;W0050000
OSBOX;N564823;W0124806
OSDIL;N614251;E0215737
OSDOD;N654159;E0073903
OSGAM;N571600;E0090800
OSGAR;N530258;W0071613
OSK;N632422;E0185937
OSKAV;N584204;E0260122
OSKEK;N624007;E0250322
OSKEV;N552429;E0112622
OSKIR;N654015;E0193656
OSKOK;N621911;E0121544
OSKOK;N621911;E0121544
OSKOM;N590925;E0073000
OSKUB;N682725;E0173903
OSLAT;N694000;E0224445
OSLAV;N624335;E0151100
OSLAX;N580159;E0235254
OSLEL;N572858;W0013158
OSLEM;N582733;E0252846
OSLIK;N575909;E0260519
OSLIT;N665145;E0252423
OSMUM;N625024;E0100423
OSMUR;N591457;E0232833
OSNAV;N704600;E0274737
OSS;N631158;E0142915
OSSEP;N520317;W0024821
OSTAX;N660307;E0164853
OSTOT;N591715;E0221043
OSVAL;N582828;E0090309
OSVIG;N610428;E0092356
OTBAR;N635002;E0252416
OTKAP;N610446;E0272323
OTKIL;N602830;E0212204
OTLAB;N552436;E0013246
OTLUD;N620939;E0250211
OTMAB;N600700;E0145000
OTMET;N504055;W0023053
OTPAL;N611608;E0254032
OTRAX;N602819;E0042301
OTSOS;N602144;E0070705
OTVEB;N562930;E0141610
OTVEG;N621714;E0223851
OTVEM;N650819;E0241322
OVBIG;N672320;E0144354
OVDAL;N622343;E0131205
OVDAN;N575321;E0001818
OVZOG;N505106;W0071530
OXCUD;N515423;W0024906
OXLOW;N510155;W0020000
OXOTI;N624508;E0133124
OZBOC;N521524;W0021105
OZRAT;N534835;W0044932
OZZIL;N513821;W0022549
PABVU;N612848;E0071409
PACSE;N512227;W0030651
PATTO;N654948;E0120612
PAVLO;N505605;W0055344
PAXLO;N695406;E0200000
PEKUX;N602419;E0223732
PELIG;N531159;W0072000
PELIT;N591202;E0154116
PELOX;N570417;E0132805
PELUP;N581644;E0162841
PEMAB;N681911;E0201625
PEMEP;N700102;E0240000
PEMOB;N520838;W0050941
PEMOS;N610000;W0040000
PEMOV;N613728;E0045345
PENAX;N663810;E0154034
PENAX;N663810;E0154034
PENIP;N625951;E0081036
PENIV;N612847;E0220017
PENNO;N675611;E0160610
PENNO;N675611;E0160610
PENOR;N553819;E0170941
PENUN;N570636;E0045011
PENUN;N570636;E0045011
PENUN;N570636;E0045011
PENWU;N514631;W0043511
PEPEX;N695126;E0223313
PEPIG;N600829;E0223559
PEPIN;N595931;E0000054
PEPIN;N595931;E0000054
PEPIN;N595931;E0000054
PEPOD;N541616;W0053409
PEPUT;N551158;E0120301
PEPZE;N523747;W0031953
PERAX;N600434;E0162253
PERKE;N664407;E0235332
PERKE;N664407;E0235332
PESIT;N522357;W0054524
PESIX;N685424;E0200802
PESUR;N601436;E0063507
PETEV;N591226;E0170044
PETIL;N555620;E0050000
PETIL;N555620;E0050000
PETIL;N555620;E0050000
PETOT;N593040;E0230831
PETUV;N624204;E0063843
PEVAN;N554700;W0112000
PEVEB;N582949;E0064828
PEVOR;N560455;E0082440
PEVRE;N703243;E0281808
PEWBI;N511851;W0050146
PEXEN;N595447;E0234928
PEXOL;N684039;E0195004
PIBIM;N625749;E0033905
PIDIN;N594500;E0242700
PIDOP;N613510;E0280845
PIDUN;N682613;E0171231
PIGAV;N585913;E0073000
PIGAX;N691925;E0194438
PIGED;N615720;E0083902
PIGET;N555000;W0123000
PIGIT;N635047;E0072551
PIKIL;N560000;W0150000
PIKOX;N681924;E0152736
PILET;N583338;E0261643
PIMEX;N581246;E0211252
PIMOM;N591030;E0274342
PIPAR;N560700;W0031206
PIPAV;N582352;E0215320
PIPEM;N580923;W0034419
PIPEX;N585050;E0090232
PIPUL;N712000;E0265149
PISEL;N675331;E0103432
PISEL;N675331;E0103432
PISOX;N594641;E0224504
PISUX;N665404;E0134838
PIVAT;N604900;E0110400
PIVIV;N683851;E0170507
PIVUN;N582027;E0245416
PIXEG;N573000;E0045749
POBEL;N682952;E0190555
POBEL;N682952;E0190555
POBIX;N671912;E0110456
POGOK;N595928;E0212316
POGUG;N545000;E0103602
POKAS;N595853;E0192333
POKAS;N595853;E0192333
POKEN;N544911;E0143351
PTH;N562633;W0032207
PUMNU;N661157;E0124446
PUNXU;N580831;E0250045
RADIS;N563230;E0095942
RADNO;N700428;E0245846
RAMUD;N570326;E0073626
RAMUD;N570326;E0073626
RAMUD;N570326;E0073626
RANUM;N665252;E0140725
RARLE;N661221;E0123938
RASEL;N580141;E0202453
RASEL;N580141;E0202453
RASEN;N634843;E0190551
RASMU;N564530;E0134855
RASRU;N631401;E0210002
RASVI;N571723;E0080258
RASVI;N571723;E0080258
RASVI;N571723;E0080258
RATKA;N493000;W0080000
RATKA;N493000;W0080000
RATLA;N605130;E0282018
RATMU;N601416;E0263209
RATSU;N610000;W0100000
RATUL;N695707;E0220011
RAXLU;N544256;E0101625
RAXLU;N544256;E0101625
REBGO;N615109;E0271030
REBLI;N692635;E0182812
REGMA;N590632;E0112058
REGMA;N590632;E0112058
REGMA;N590632;E0112058
REGVI;N591152;E0254234
REKDO;N592635;E0213340
REKMI;N651059;E0192821
REKMO;N555922;E0124724
REKNA;N561029;E0033000
REMSA;N572849;E0173520
REMSI;N535737;W0034932
RENKU;N595309;E0245348
RENVI;N660434;E0253154
REPGA;N691934;E0202128
REPKU;N584821;E0103629
REPKU;N584821;E0103629
REPKU;N584821;E0103629
RERBU;N631356;E0221513
RERGA;N622714;E0262753
RERLO;N611653;E0225747
RERPA;N562842;E0081115
RESMO;N592018;E0272925
RESNA;N602201;E0180129
RESNO;N550000;W0150000
RETKA;N575929;E0092619
RETKA;N575929;E0092619
RETKA;N575929;E0092619
RETSI;N523042;W0025233
REVBU;N661056;E0123833
REVNU;N542800;W0100700
REVSO;N704947;E0243639
REVTA;N595157;E0062137
REXMI;N550000;E0074447
REXMI;N550000;E0074447
RIA;N565515;E0235755
RIBBE;N612228;E0112859
RIBVU;N650850;E0250745
RIDBO;N592152;E0073000
RIDSI;N553530;E0095939
RIDVI;N692323;E0283603
RIGMO;N703057;E0232313
RIGSO;N572606;E0240818
RIGVU;N584736;E0020918
RIGVU;N584736;E0020918
RIGVU;N584736;E0020918
RIKPA;N614947;E0185800
RIKUL;N530328;W0082045
RIKUM;N595815;E0192429
RIKUM;N595815;E0192429
RIKUM;N595815;E0192429
RILED;N523000;W0140000
RILUN;N665612;E0131335
RIMER;N684424;E0161944
RIMOL;N573233;W0040230
RINEV;N575422;E0223111
RINGA;N542354;W0053416
RINUS;N533839;W0073944
RIPAM;N591940;E0094500
RIPEX;N584806;E0261453
RIRIP;N601210;E0212603
RISEM;N651309;E0211432
RISEV;N623153;E0303014
RISKU;N581729;E0254655
RISMA;N570231;E0115845
RITRA;N585303;E0222545
RITSI;N554209;W0013926
RIVEX;N582453;E0063139
RIVOT;N562429;E0004637
RIVUM;N614003;E0285105
RIXEM;N684728;E0201929
RIXEM;N684728;E0201929
RIXEM;N684728;E0201929
RIXUN;N610000;W0030000
ROBEM;N552733;W0010114
ROBRO;N650358;E0113500
ROBUS;N550634;E0114311
RODEL;N503000;W0150000
ROE;N550356;E0144531
ROE;N550356;E0144531
ROGED;N603046;E0123624
ROGED;N603046;E0123624
ROGMI;N581138;E0180006
ROGTU;N612931;E0205811
ROKAM;N561901;E0121100
ROKVI;N605139;E0270123
ROLAV;N561756;E0240154
ROMOP;N615124;E0250129
RONUS;N560525;E0202944
ROPAL;N550817;E0035643
ROPAM;N600759;E0253606
ROPBE;N654539;E0122817
ROPNO;N591947;E0065041
ROSAP;N674438;E0125948
ROSAX;N592835;E0234646
ROSBI;N555058;E0105555
ROSBO;N650953;E0061813
ROSBO;N650953;E0061813
ROSKO;N692213;E0181544
ROSMO;N634159;E0204739
ROSVI;N673123;E0152737
ROTEV;N540144;W0060358
ROTEV;N540144;W0060358
ROTKO;N665738;E0255740
ROTOT;N671308;E0134641
ROVAN;N694750;E0283151
ROVAN;N694750;E0283151
ROVLA;N552338;W0042825
ROVPA;N604402;E0122344
ROVPA;N604402;E0122344
ROVTI;N614659;E0262150
ROXEN;N563352;E0140200
ROXUB;N551547;E0140448
RUBEX;N551912;W0065607
RUBSI;N654151;E0243850
RUBUS;N710054;E0300000
RUBUS;N710054;E0300000
RUCAV;N560426;E0210537
RUDAM;N671214;E0292404
RUDNI;N572420;E0222440
RUFLO;N704256;E0254647
RUGID;N572209;W0045355
RUKEN;N674530;E0142326
RUKOH;N521243;W0054418
RUMAR;N550201;E0160415
RUMEP;N593045;E0222556
RUMOG;N581237;E0053133
RUNES;N693939;E0282239
RUNGA;N594459;E0194327
RUNGA;N594459;E0194327
RUNGA;N594459;E0194327
RUSIG;N703443;E0245857
RUSST;N690937;E0192505
RUSUT;N642525;E0094923
RUTEK;N575422;E0210858
RUTOD;N690615;E0161056
RUVAT;N572555;E0234542
RUVUD;N553046;E0082545
RUXIN;N561655;W0120000
RVK;N645015;E0110848
SAB;N555427;W0021223
SABAK;N581036;E0113834
SAFEK;N620252;E0225742
SAKTA;N563432;E0251602
SALCO;N494414;W0033146
SALLO;N545500;E0132310
SALLO;N545500;E0132310
SAMON;N511921;W0072504
SAMON;N511921;W0072504
SAWPE;N513505;W0013916
SDA;N701403;E0280413
SEGKA;N654312;E0121213
SELCO;N604631;E0092149
SEMMU;N524641;W0040222
SEPJA;N672700;E0211300
SHIRI;N502447;W0034044
SIDDI;N503107;W0035802
SIDHO;N504539;W0031418
SIG;N600054;E0093748
SIGGE;N612221;E0282529
SIMEG;N551500;E0133004
SIPRI;N605044;E0184506
SIRIC;N512036;W0013359
SIRMO;N684446;E0175630
SIVNU;N693428;E0291416
SIVNU;N693428;E0291416
SIVSU;N552819;E0091706
SJA;N690941;E0174857
SKA;N643736;E0210446
SKG;N683442;E0150206
SKR;N551344;E0091251
SLANY;N520931;W0055032
SLANY;N520931;W0055032
SLU;N653225;E0220803
SMOKI;N574637;W0023556
SOBDU;N604627;E0071626
SOKVA;N575400;E0241758
SOLKA;N631951;E0120309
SOLKA;N631951;E0120309
SOLKA;N631951;E0120309
SOMAX;N500000;W0150000
SOMUB;N632057;E0114818
SONAL;N545244;E0124649
SONAL;N545244;E0124649
SONIN;N655855;E0214822
SOPEB;N622803;E0241435
SOPLI;N641404;E0204426
SOPTO;N551820;E0050000
SOPTO;N551820;E0050000
SOPTO;N551820;E0050000
SOPUN;N575039;E0205859
SORAV;N631725;E0094932
SORES;N563607;E0244929
SORPA;N593701;E0245049
SOSAR;N610000;W0020000
SOSIM;N534856;W0043030
SOSIP;N622611;E0273939
SOTIT;N681411;E0271140
SOTOP;N695945;E0212018
SOTUP;N601720;E0203726
SOVED;N560000;W0140000
SOVEV;N671248;E0222116
SOVIX;N512539;W0083346
SOXIL;N701403;E0280413
SOXON;N585806;W0035222
SOXOX;N700023;E0200000
SOZED;N691457;E0171007
STD;N594714;E0052039
STETI;N681048;E0162251
STM;N661725;E0134608
STN;N581225;W0061059
STO;N655738;E0122810
SUBUG;N624129;E0212229
SUGAV;N694134;E0200000
SULOB;N694442;E0142414
SULUN;N585818;E0240407
SUM;N645720;E0174230
SUMIM;N575444;E0272910
SUMIM;N575444;E0272910
SUN;N623142;E0172655
SUNOT;N570000;W0150000
SUP;N553204;E0132247
SUPIT;N571957;W0070506
SURAT;N555456;E0033000
SURIR;N552544;E0082517
SUROX;N535948;W0065936
SUSIN;N700455;E0210854
SUSIS;N553617;W0002102
SUTEB;N550000;E0052508
SUTEB;N550000;E0052508
SUTEV;N643314;E0224416
SUTEV;N643314;E0224416
SUTEX;N524928;W0065549
SUTID;N701019;E0233635
SUVAN;N512500;W0123000
SUVAR;N610905;E0124310
SUVAR;N610905;E0124310
SUVAR;N610905;E0124310
SUVIB;N642555;E0250744
SUVIX;N584126;E0223536
SVA;N580504;E0075430
TABEV;N660223;E0072628
TABEV;N660223;E0072628
TABUT;N593109;E0155501
TACQI;N510231;W0042847
TADEX;N545124;W0081401
TADOX;N623151;E0222034
TAKAS;N490000;W0080000
TAKAS;N490000;W0080000
TALIG;N493059;W0054804
TALSA;N550625;E0094111
TAMEL;N484343;W0102950
TEB;N593154;E0181212
TEDVU;N644321;E0054758
TEDVU;N644321;E0054758
TEGTU;N662738;E0120515
TEKVA;N595905;E0124310
TELMO;N550317;E0140659
TEMBA;N701515;E0260000
TEMLI;N564042;E0152302
TENSI;N570347;E0221820
TERPA;N672150;E0204152
TESLU;N612658;E0093117
TESPI;N555354;E0103152
TESPO;N562016;E0171343
TETNI;N705503;E0211515
TEVMI;N661313;E0115035
TEVNA;N585113;E0234022
TEVRU;N604916;E0244929
TEWXI;N514838;W0020145
TGA;N622742;E0105244
TIBGA;N522326;W0052705
TIBNO;N595440;E0081745
TIBTI;N685535;E0165046
TIDCO;N684800;E0151129
TIDVU;N552441;E0133327
TIGBA;N625614;E0120731
TIGBA;N625614;E0120731
TIGWE;N514823;W0031258
TIKCA;N512934;W0052701
TILTE;N594440;E0085132
TIMIX;N610752;E0062403
TIMOB;N650411;E0210005
TIMUP;N552528;E0024830
TINAC;N561503;E0050000
TINAC;N561503;E0050000
TINAC;N561503;E0050000
TINAN;N503960;W0032654
TINIG;N600038;E0062102
TINKA;N591219;E0161747
TINOS;N694730;E0261340
TINOS;N694730;E0261340
TIPAN;N543554;E0042356
TIPAR;N620737;E0083151
TIPEL;N671543;E0161948
TIPEL;N671543;E0161948
TIPIX;N585417;E0163127
TIPSO;N585655;E0081842
TIPUR;N523521;W0080731
TIR;N562936;W0065232
TIRIN;N560402;E0204452
TISES;N691148;E0182735
TISMO;N520805;W0080047
TITIV;N624134;E0274508
TITOT;N681644;E0170858
TITOV;N581722;E0272234
TITUX;N590230;E0090000
TIVER;N504833;W0032526
TIXOR;N652013;E0151301
TIXTE;N574816;E0272206
TLA;N552957;W0032110
TNO;N554627;E0112621
TOBIT;N620000;E0095557
TOBMO;N564538;W0062811
TOBOR;N523000;W0150000
TOBRU;N632209;E0081453
TODNA;N580012;E0213309
TOGMI;N614543;E0193225
TOGMI;N614543;E0193225
TOHAT;N611944;E0225440
TOJAQ;N502860;W0033956
TOKLA;N700417;E0301615
TOKSI;N570920;E0135440
TOLBI;N565504;E0211827
TOMBU;N591346;E0193404
TOMGU;N554709;E0090747
TOMTO;N525225;W0080905
TONQU;N502309;W0031845
TONSA;N583633;E0163113
TOPLA;N570809;E0122020
TOPLO;N712000;E0272107
TOPTI;N692829;E0182904
TOR;N591009;E0101533
TORLU;N525916;W0073459
TORMO;N640500;E0120000
TORVA;N592445;E0161243
TOTKO;N620000;E0085601
TOVRI;N594459;E0184601
TRN;N551848;W0044702
TRO;N694210;E0185948
TRS;N585617;E0173008
TUBNU;N691049;E0160105
TUDGI;N640849;E0184044
TUDLO;N551633;E0103852
TUGPU;N671726;E0252004
TUGSI;N540000;W0071100
TUKMA;N584419;E0270829
TUKMU;N580949;E0074859
TULDA;N691437;E0185803
TULTA;N483437;W0080000
TUMGU;N595328;E0120112
TUMGU;N595328;E0120112
TUMIM;N614332;E0055532
TUNOV;N621632;E0270259
TUNSI;N582235;E0250433
TUPEM;N535017;W0032855
TURER;N630737;E0082126
TURLU;N500435;W0080000
TUSAS;N562846;E0251018
TUSBI;N610405;E0261823
TUSKA;N550000;E0075234
TUSKA;N550000;E0075234
TUSNI;N591946;E0164903
TUSRU;N590048;E0061600
TUTBI;N620000;E0103851
TUTEG;N622836;E0055323
TUTOP;N620000;E0052712
TUTVA;N583549;E0231543
TUVEN;N510000;W0081500
TUVLA;N675040;E0125333
TUVLU;N674126;E0232943
TUVLU;N674126;E0232943
TUVUN;N690415;E0154913
TUXIL;N592410;E0052701
TUXOS;N555824;W0073135
TUXOT;N635839;E0121917
TUXUV;N590423;E0261116
UBABA;N680402;E0151337
UBEDA;N582519;E0081057
UBELO;N701316;E0212319
UBESI;N685730;E0194018
UBIGA;N642305;E0264818
UBIMO;N693321;E0185546
UDAGA;N634044;E0045935
UDANU;N683506;E0142732
UDSAM;N700102;E0215527
UDVIM;N615542;E0271413
UFGUG;N613912;E0075907
UGLUM;N632455;E0273827
UGMAL;N655736;E0120837
UGMEV;N675533;E0125834
UGMIX;N690635;E0202743
UGMOR;N643940;E0260830
ULGEG;N635145;E0232031
ULGIT;N684349;E0150702
ULKOX;N583121;E0264821
ULLAP;N575400;W0051009
ULMUG;N591117;E0093413
ULNIK;N692321;E0175907
ULROM;N662806;E0252813
ULTAG;N534201;W0064417
ULTIR;N601514;E0251213
ULTIV;N694854;E0174019
ULTSI;N603259;E0251727
ULTUL;N654539;E0120852
ULVAN;N602451;E0070645
ULVED;N615553;E0284047
ULVIR;N613945;E0081920
ULVOS;N593309;E0063927
UMBOR;N631412;E0041359
UME;N634719;E0201707
UMIXA;N570924;E0134302
UMKIP;N631905;E0064811
UMLAX;N610000;E0170411
UMLIR;N671803;E0124210
UMSAK;N612528;E0142301
UMSEG;N692356;E0190120
UMSES;N610613;E0220911
UMSOM;N631955;E0200221
UMTED;N704645;E0201006
UMTON;N583242;E0142020
UMUGI;N600214;E0224141
UMUME;N592042;E0092215
UNBEG;N524818;W0094348
UNBUD;N580746;E0051029
UNFIT;N512520;W0041857
UNGAV;N545500;E0135941
UNGAV;N545500;E0135941
UNKAS;N645309;E0201910
UNLID;N511233;W0104329
UNSOR;N684923;E0152427
UNVUG;N575700;E0102300
UNZIB;N512930;W0015921
UPAPU;N601106;E0223334
UPCAB;N505348;W0061902
UPCUM;N664448;E0211921
UPDER;N601840;E0051244
UPEDU;N651753;E0252908
UPEVA;N663714;E0173644
UPGAS;N551441;E0050000
UPGAS;N551441;E0050000
UPGAS;N551441;E0050000
UPGET;N563935;W0020050
UPLEV;N590606;E0065158
UPMAD;N660100;E0175700
UPNAL;N552517;E0022451
UPODO;N631812;E0100302
UPUGU;N680809;E0144843
URABE;N592220;E0085127
URARU;N614555;E0081110
URIDO;N561649;E0243059
URUBO;N565400;E0073400
URUDO;N674442;E0101818
URUXA;N680221;E0155000
USIKI;N661527;E0152342
USIKI;N661527;E0152342
USITU;N595131;E0212157
USSAF;N594232;E0083711
USUPO;N613645;E0250056
UTOGI;N580452;E0074354
UTRUF;N610246;E0092030
UTUNA;N624958;E0104213
UVATI;N632329;E0211204
UVEMO;N610533;E0235058
UVEPI;N632413;E0091227
UVMOK;N684810;E0250953
UVMOK;N684810;E0250953
UVOPA;N604625;E0222611
UVOVO;N622257;E0292401
UVPOK;N535940;W0041235
UXADA;N605100;E0223648
UXEGA;N612803;E0265633
UXETI;N600828;E0195452
VABOT;N644426;E0125551
VABRU;N650351;E0131322
VABUB;N623621;E0223240
VADIN;N570816;E0113838
VADLA;N694506;E0284743
VADLA;N694506;E0284743
VADNO;N572711;W0033738
VAGAS;N672057;E0200908
VAGVO;N561459;E0191706
VAKOL;N634508;E0080350
VALAK;N632507;E0203427
VALAK;N632507;E0203427
VALBO;N550744;E0050000
VALBO;N550744;E0050000
VALBO;N550744;E0050000
VALDI;N611252;E0000000
VALED;N564311;E0222743
VALGA;N575114;E0255458
VALOX;N594354;E0240820
VALOX;N594354;E0240820
VAMOL;N623716;E0082600
VAMTO;N611728;E0094212
VANAG;N573301;E0244333
VANAT;N630409;E0100215
VANOS;N692519;E0300140
VAPAL;N515243;W0074918
VARID;N701532;E0313235
VARUS;N562907;E0195426
VASUG;N584747;E0091940
VATAX;N702620;E0174425
VATEB;N604056;E0070741
VATEX;N591903;E0114914
VATEX;N591903;E0114914
VATEX;N591903;E0114914
VATEX;N591903;E0114914
VATRY;N523316;W0053000
VATRY;N523316;W0053000
VAVED;N615040;E0264339
VAVET;N583846;E0084414
VAXIT;N563215;E0050000
VAXIT;N563215;E0050000
VAXIT;N563215;E0050000
VAXUN;N635903;E0234218
VEDAR;N563154;E0120725
VEDEN;N563154;E0185236
VEDEN;N563154;E0185236
VEDUT;N661337;E0125725
VEGAS;N652723;E0114854
VEHUF;N604612;E0260617
VEKAB;N701541;E0291345
VEKUV;N625847;E0274850
VEMAM;N623738;E0052211
VENEM;N605350;E0060520
VENER;N543000;W0150000
VEPIN;N603753;E0261959
VEPIP;N565513;E0143111
VEPUL;N621203;E0082132
VEPUN;N672729;E0130524
VERAG;N650732;E0215914
VEREX;N552703;W0021345
VESER;N651120;E0154047
VETAS;N560109;E0255122
VEVOD;N624951;E0111718
VEXOM;N621238;E0104915
VFL;N655246;E0131829
VIBAR;N573441;E0162326
VIBIN;N701900;E0284800
VIBON;N692918;E0134922
VIBON;N692918;E0134922
VIDDE;N702254;E0224435
VIG;N623307;E0060204
VIPPA;N585633;E0101343
VOO;N603256;E0050743
VORXI;N655220;E0120948
VOTNE;N585805;E0213920
VOVIC;N681200;E0152300
VSB;N573934;E0182049
VSN;N581812;E0154236
VULEZ;N611235;E0290455
WAFIL;N595243;W0011711
WAKZU;N650832;E0190921
WETFI;N534947;W0053000
WEVBE;N520737;W0025921
WIGGU;N511137;W0032028
WIK;N582732;W0030601
XALON;N683632;E0182825
XAMUS;N623730;E0014316
XANET;N613058;E0070251
XANON;N581257;E0235010
XAPAN;N684010;E0171922
XAPOR;N694718;E0173411
XAROS;N601653;E0080415
XATEN;N632350;E0065829
XAVAS;N672748;E0132819
XEBIB;N670302;E0211228
XEBIL;N634000;E0095500
XEGRO;N695101;E0193801
XEKRA;N645038;E0102715
XELAX;N621056;E0090201
XELMA;N615605;E0253746
XELRU;N653926;E0065314
XELRU;N653926;E0065314
XELVI;N612959;E0124004
XELVI;N612959;E0124004
XELVI;N612959;E0124004
XEMBA;N650358;E0104711
XENTA;N584129;E0112858
XEPLI;N623925;E0102820
XETBO;N520000;W0140000
XETMU;N675224;E0252155
XETNI;N604120;E0221430
XEVAP;N645013;E0241836
XEVLO;N632157;E0252249
XIDMI;N594304;E0115612
XIDMI;N594304;E0115612
XIDMI;N594304;E0115612
XILAN;N593934;E0190434
XODBA;N654251;E0122100
XONTU;N655626;E0240436
XONTU;N655626;E0240436
XORMU;N611928;E0223854
XUKDI;N602137;E0105000
YORQI;N513119;W0022536
ZESPE;N513310;W0025314
ZIPCO;N615214;E0173757
ZIPWE;N514235;W0033401
ZOFAT;N553536;W0040208
ZOL;N585230;E0053824
ABGUS;N515201;E0110312
AKOSI;N494228;E0120510
AMOSA;N493034;E0104841
ARMUT;N494321;E0121924
BARAP;N515142;E0114301
BARSU;N495518;E0102322
BOLBO;N514741;E0130904
BOREP;N495757;E0103740
DIBDO;N515023;E0113426
DIDGI;N514557;E0122726
EBASA;N514816;E0141137
EMBOX;N520327;E0112059
ENITA;N494208;E0122826
EXITI;N493345;E0112426
FEDZA;N510405;E0102056
GASKA;N502107;E0101643
GOBAX;N513324;E0124703
GOBAX;N513324;E0124703
GODUR;N514950;E0131647
GOVEN;N520330;E0144520
HDO;N505541;E0142208
IBAGA;N494439;E0103335
KATCE;N511505;E0102100
KEMES;N493300;E0111327
KILNU;N502837;E0125442
KOMIB;N500424;E0101434
KORUP;N513459;E0144417
KUMER;N513215;E0103806
LASIS;N512425;E0145742
LUROS;N515355;E0141028
MAG;N515942;E0114740
MAREM;N504256;E0133744
MARZA;N500824;E0101618
MILGU;N513419;E0130147
MILGU;N513419;E0130147
MOOCE;N493359;E0113248
NOMKA;N512652;E0103007
ODLUN;N515102;E0115018
OGSEN;N512959;E0132818
OKG;N500355;E0122421
OLBIK;N513945;E0132028
OMELO;N505016;E0140003
PILAM;N502606;E0104240
POGAB;N515043;E0135902
RAPET;N501126;E0122019
ROBEL;N505351;E0102606
RODIS;N492828;E0115659
SISGO;N514407;E0135706
TAMEB;N504828;E0104348
TESDU;N501225;E0102343
TOPDI;N515015;E0121159
UNRIG;N515203;E0133535
VARIK;N501728;E0122252
VELIS;N502809;E0102829
VEVAS;N514008;E0124309
VEXIL;N502332;E0123801
ZUCKA;N514025;E0105348
ABTAL;N485117;E0100625
AGNAV;N493405;E0123652
AKOSI;N494228;E0120510
ARMUT;N494321;E0121924
ASPAT;N491146;E0104333
BABEG;N484019;E0093955
BATUB;N480109;E0093350
BAVRI;N490056;E0133046
BEPAS;N485354;E0133035
BIRGI;N472052;E0115526
BRENO;N465848;E0112236
DEXIT;N484546;E0134233
DINKU;N491410;E0102259
DIRAB;N464849;E0110344
DOLUP;N490709;E0132340
ERKIR;N473216;E0120032
ESEGA;N481747;E0131053
EXITI;N493345;E0112426
GEDSO;N470450;E0115213
GIRIS;N464618;E0105303
GOMIG;N480820;E0124141
INBED;N492315;E0105630
INPUL;N475025;E0124430
KEMES;N493300;E0111327
KUMOM;N473328;E0122218
KUNOD;N482020;E0093707
LAMSI;N483912;E0133500
LATLO;N474102;E0124824
LIKDA;N470101;E0114503
MOOCE;N493359;E0113248
NATAG;N465129;E0103708
NOMBO;N490349;E0100517
OLPIX;N470102;E0114125
PETIX;N492028;E0104517
RADIZ;N473735;E0123219
RAVED;N474345;E0094010
RENKA;N483505;E0133019
RODIS;N492828;E0115659
RUDAP;N491429;E0131556
SIMBA;N481349;E0130057
SOTOV;N465638;E0111238
SUBEN;N482611;E0132012
TITIG;N480332;E0123334
TIVDA;N492610;E0123924
TRAUN;N475829;E0123515
UMTEX;N475015;E0093727
UMVEG;N471242;E0115348
UNIMI;N465139;E0110355
UTABA;N481518;E0092742
VEKIR;N484325;E0095425
ABERU;N500409;E0120537
ABTAL;N485117;E0100625
ABTAL;N485117;E0100625
AGNAV;N493405;E0123652
AKOSI;N494228;E0120510
ALAXA;N494516;E0104945
ALOSO;N504227;E0114206
ALUTU;N482946;E0120609
AMOSA;N493034;E0104841
ANELA;N494608;E0111329
ARMUT;N494321;E0121924
ASPAT;N491146;E0104333
ASPAT;N491146;E0104333
BABEG;N484019;E0093955
BADVI;N474352;E0115643
BAMKI;N504305;E0110113
BAMTA;N484356;E0125315
BARSU;N495518;E0102322
BARSU;N495518;E0102322
BATUB;N480109;E0093350
BAVAX;N481546;E0114032
BAVRI;N490056;E0133046
BEBKU;N512725;E0135214
BEMKI;N473334;E0101820
BEPAS;N485354;E0133035
BERAS;N472134;E0114610
BESNI;N483837;E0111506
BIBAG;N482349;E0124459
BIRGI;N472052;E0115526
BIRGI;N472052;E0115526
BOREP;N495757;E0103740
BOREP;N495757;E0103740
BRENO;N465848;E0112236
BRENO;N465848;E0112236
DESAR;N513824;E0120234
DEXIT;N484546;E0134233
DEXIT;N484546;E0134233
DIDGI;N514557;E0122726
