FRA Point;FRA Point Latitude;FRA Point Longitude
BASOG;N450757;E0122936
BATKU;N552733;E0263304
BATOX;N411246;E0100923
BAVGA;N423538;E0223954
BAVGA;N423538;E0223954
BAVMA;N464654;E0220338
BAVNU;N530628;E0202748
BAVOK;N500010;E0181143
BAVOK;N500010;E0181143
BAVOK;N500010;E0181143
BAVRI;N490056;E0133046
BAXEV;N495224;E0172629
BAXIS;N514831;E0185150
BAXON;N442459;E0132747
BAXON;N442459;E0132747
BAXON;N442459;E0132747
BCU;N463039;E0264932
BEDAM;N534423;E0151132
BEDOX;N461558;E0154934
BEDPI;N411500;E0144610
BEFHE;N413127;E0162324
BEFRE;N505618;E0144156
BEGDA;N535828;E0243253
BEGLA;N474951;E0170652
BEGLA;N474951;E0170652
BEGUD;N424650;E0095200
BEKIV;N375239;E0134005
BEKTO;N495757;E0124243
BEKVA;N405604;E0214142
BEKVI;N500424;E0144320
BELIX;N365800;E0190000
BELOK;N392323;E0102139
BELOV;N443233;E0124248
BENGO;N424321;E0225801
BENUS;N445425;E0111213
BEPAS;N485354;E0133035
BEPES;N452053;E0281920
BERIL;N562147;E0232535
BERMI;N373019;E0152119
BEROK;N440956;E0102106
BEROL;N401217;E0130047
BERTA;N462659;E0143731
BERVA;N483703;E0173228
BESLI;N432408;E0240203
BESOT;N525518;E0225640
BESTO;N514348;E0172356
BETED;N480500;E0201400
BETEN;N433311;E0094606
BETJA;N453207;E0135853
BETMU;N444022;E0104920
BETOT;N402309;E0113754
BEVIS;N415558;E0181140
BEVIS;N415558;E0181140
BEVIS;N415558;E0181140
BEXOR;N465249;E0111331
BEZMI;N542314;E0172424
BGD;N444910;E0201840
BGS;N423514;E0273217
BIBAN;N455532;E0072703
BIBKA;N531127;E0185718
BIBNO;N441015;E0103758
BIBOR;N471609;E0250821
BIDMA;N433943;E0130417
BIGLO;N421926;E0184313
BIGLU;N514323;E0233235
BIKTU;N440008;E0113221
BILDI;N543516;E0245643
BILNA;N492337;E0182650
BILNA;N492337;E0182650
BILNA;N492337;E0182650
BILRA;N544629;E0142020
BIMPA;N522228;E0194629
BINBI;N434306;E0293808
BINBI;N434306;E0293808
BINBI;N434306;E0293808
BINBI;N434306;E0293808
BINKA;N534534;E0141632
BINKU;N465534;E0202733
BINOM;N461621;E0284401
BINPO;N514011;E0163700
BIRGI;N472052;E0115526
BIRGI;N472052;E0115526
BIRGI;N472052;E0115526
BIRLU;N440334;E0284509
BITLA;N405232;E0212129
BITSI;N491830;E0161411
BIVBU;N445514;E0241954
BKS;N464800;E0210426
BLC;N431455;E0212142
BLO;N424002;E0234850
BMR;N474016;E0232045
BNO;N490900;E0164133
BOA;N443213;E0111726
BOBVO;N432332;E0230528
BOBVO;N432332;E0230528
BODAL;N492751;E0154658
BODLA;N531633;E0142436
BODMO;N431051;E0262517
BODZA;N473333;E0182549
BOKDO;N470721;E0233839
BOKSI;N463807;E0194951
BOKSU;N541827;E0230333
BOKSU;N541827;E0230333
BOLOT;N402124;E0085338
BONZI;N413124;E0202726
BONZI;N413124;E0202726
BORDI;N440123;E0074507
BORMI;N460210;E0111000
BOSNA;N442214;E0174535
BOTAL;N450801;E0090722
BOTNA;N462104;E0281717
BRENO;N465848;E0112236
BRV;N453403;E0253353
BUCSA;N463012;E0262202
BUD;N472702;E0191458
BUDEX;N485654;E0142010
BUDEX;N485654;E0142010
BUDIN;N382835;E0150448
BUDOP;N464115;E0212948
BUDOP;N464115;E0212948
BUDWA;N491715;E0133752
BUFRA;N423044;E0244220
BUG;N464040;E0194054
BUGEV;N452756;E0134624
BUKAN;N463154;E0225330
BUKEL;N450440;E0254333
BUKEL;N450440;E0254333
BUKOV;N475706;E0255730
BUKUR;N470713;E0252843
BULAR;N381851;E0104734
BULEK;N502448;E0150355
BULEN;N434500;E0254900
BULEN;N434500;E0254900
BULEP;N524616;E0222508
BUMOK;N404251;E0154011
BUMUK;N472408;E0133024
BUNEX;N431104;E0191719
BUNOS;N545922;E0181054
BUREK;N414956;E0211149
BUSER;N440624;E0133856
BUSES;N465533;E0280622
BUSES;N465533;E0280622
BUSET;N453006;E0141327
BUVAK;N425926;E0272615
BUWUT;N484818;E0151847
BUXLE;N462750;E0221143
BUZRA;N471651;E0190346
BUZZE;N473851;E0234737
CANNE;N461000;E0085252
CAR;N390641;E0093029
CDC;N384521;E0162209
CEPRA;N462232;E0151223
CERVI;N455812;E0073243
CETUL;N444151;E0283737
CETUL;N444151;E0283737
CHI;N450416;E0121653
CND;N441708;E0282842
COBBA;N374844;E0144543
CONWI;N464339;E0223345
CORSI;N412000;E0084844
COZMU;N460656;E0254542
CRAYE;N413010;E0180745
CRAYE;N413010;E0180745
CRE;N445410;E0142500
CRN;N385946;E0170459
CRV;N441907;E0235522
CTF;N372752;E0150344
CUGLA;N554849;E0200130
CUZVO;N551755;E0242248
DABAR;N445556;E0151613
DAMIC;N402738;E0181634
DANUL;N445424;E0282723
DAROJ;N442110;E0190608
DARZA;N452942;E0150026
DARZA;N452942;E0150026
DAXNU;N453730;E0133709
DEC;N392149;E0085827
DEDIN;N423539;E0240446
DEDIN;N423539;E0240446
DEDOM;N420700;E0102600
DEGET;N462937;E0211602
DEGET;N462937;E0211602
DEGUM;N462757;E0134157
DEKOV;N505350;E0141259
DEKUT;N530658;E0170207
DELER;N401106;E0140857
DELIK;N383718;E0163824
DELIN;N430803;E0250954
DEMOP;N481029;E0200325
DEMOP;N481029;E0200325
DEMOP;N481029;E0200325
DEMUR;N540448;E0150028
DENAK;N450008;E0262608
DENAK;N450008;E0262608
DENKO;N524901;E0154957
DENUB;N440359;E0292636
DENUB;N440359;E0292636
DEPET;N444044;E0155810
DER;N445903;E0175810
DERAM;N515049;E0191651
DESEN;N501612;E0173101
DESEN;N501612;E0173101
DESEN;N501612;E0173101
DESIP;N453845;E0090733
DESUK;N415941;E0130809
DETSA;N464809;E0121652
DETSA;N464809;E0121652
DETSA;N464809;E0121652
DEVEL;N544351;E0154453
DEVOX;N444146;E0084449
DEVUL;N450749;E0162628
DEXIR;N541327;E0172656
DEXIT;N484546;E0134233
DEXIT;N484546;E0134233
DEXIT;N484546;E0134233
DEXUL;N395132;E0090832
DIBAX;N460659;E0110351
DIBED;N495318;E0230330
DIBLO;N520747;E0192039
DICXA;N431212;E0270315
DIDIX;N455320;E0210114
DIGOT;N442324;E0154004
DIKEM;N460223;E0112358
DILEB;N455830;E0093944
DILIN;N370032;E0135852
DILVI;N521009;E0152733
DILVO;N421836;E0235613
DILVO;N421836;E0235613
DIMEX;N513750;E0160743
DIMIS;N400421;E0203541
DIMLO;N464101;E0162522
DIMLO;N464101;E0162522
DIMLO;N464101;E0162522
DIMTA;N541657;E0242009
DINEN;N422959;E0255932
DINOB;N384327;E0190000
DINOV;N505543;E0160508
DINRO;N434200;E0284830
DIODA;N503350;E0240529
DIPKI;N521210;E0172746
